suite,bin_tokens,n_pares,n_flow_fired,pct_flow_fired
codehalu,15-30,2,2,100.0
codehalu,30-60,10,10,100.0
codehalu,60+,188,177,94.1
halubench,15-30,1,1,100.0
halubench,30-60,55,55,100.0
halubench,60+,144,143,99.3
halueval_dialogue,<15,100,1,1.0
halueval_dialogue,15-30,85,66,77.6
halueval_dialogue,30-60,15,15,100.0
halueval_general,<15,9,0,0.0
halueval_general,15-30,35,33,94.3
halueval_general,30-60,66,63,95.5
halueval_general,60+,90,89,98.9
halueval_qa,<15,173,0,0.0
halueval_qa,15-30,27,9,33.3
halueval_summarization,<15,1,0,0.0
halueval_summarization,15-30,18,17,94.4
halueval_summarization,30-60,90,88,97.8
halueval_summarization,60+,91,90,98.9
legal_hallucinations,15-30,34,23,67.6
legal_hallucinations,30-60,118,102,86.4
legal_hallucinations,60+,48,48,100.0
truthfulqa,<15,198,0,0.0
truthfulqa,15-30,2,0,0.0
